efa,estimate,std.error,statistic,p.value
c18.2w6,-0.012600279624205483,0.011584404026349705,-1.0876933846182404,0.2843811619957087
c18.3w6,0.0031070419623448835,0.0037067172544165204,0.8382193054090843,0.40776187892989424
c18.3w3,0.03384850941123209,0.023861438751279905,1.41854436205849,0.16513384202395048
c18.4w3,-0.003146634906146353,0.010340244030054076,-0.3043095401811225,0.762746882715859
c18.5w3,0.025942686824200128,0.011674130297760906,2.2222372170349964,0.033024640103764616
c20.4w6,-0.0012313522728229459,0.0021804251041782864,-0.5647303686163495,0.5759644664972892
c20.5w3,-1.973685750693374e-4,0.008668049302237458,-0.022769664567827416,0.9819671162471266
c22.6w3,-0.0083344951498788,0.009995685055237485,-0.8338092990946864,0.41020833887194996
sumSAFA,-0.033045548626447145,0.021500739514943645,-1.5369493967163093,0.13356082677610392
sumMUFA,0.016068899157608323,0.02373656361449759,0.6769682174126467,0.5030063765397055
sumPUFA,0.016976649468838645,0.024436882613003287,0.6947142046590294,0.49195491571630434
