efa,estimate,std.error,statistic,p.value
c18.2w6,0.000,0.000,-1.145,0.258
c18.3w6,0.000,0.000,-1.623,0.112
c18.3w3,-0.001,0.000,-1.063,0.294
c18.4w3,0.000,0.000,0.133,0.895
c18.5w3,0.000,0.000,-1.378,0.175
c20.4w6,0.000,0.000,0.668,0.508
c20.5w3,0.000,0.000,1.925,0.061
c22.6w3,0.000,0.000,0.704,0.485
sumSAFA,0.001,0.000,1.253,0.217
sumMUFA,0.000,0.001,0.034,0.973
sumPUFA,-0.001,0.001,-0.986,0.330
