"lakeid","winter_yr","season","MUFA_perc_avg","PUFA_perc_avg","SAFA_perc_avg","c18.2w6_perc_avg","c18.3w6_perc_avg","c18.3w3_perc_avg","c18.4w3_perc_avg","c18.5w3_perc_avg","c20.4w6_perc_avg","c20.5w3_perc_avg","c22.6w3_perc_avg"
"ME",1995,"iceoff",20.2415406820992,34.242157911711,40.6212597938823,5.17400555297146,1.84334139218806,14.4759362993903,3.18234658241678,1.49936079300943,0.110898474327619,3.26750266946575,1.00693713200944
"ME",1995,"iceon",15.8546499357052,50.4748232880948,24.2534564871406,3.14886657886916,0.301789645003709,15.7751638347343,13.842733505834,4.18102534681332,0.454596614779552,6.12627463728197,3.8302717313625
"ME",1996,"iceoff",22.5271397981913,35.8854592003392,37.960311384403,5.41714311009185,1.37410627859782,15.6716825855704,3.35804678866121,2.38193823016215,0.169300030201675,3.1323968474987,0.845932704293472
"ME",1996,"iceon",19.3531368027931,35.7738199645441,36.2630693009258,6.29453905620286,0.573153997921059,20.0319558691641,2.88597773062163,0.186384456029886,0.159282240562732,3.17059969311686,0.543165265824214
"ME",1997,"iceoff",24.3413003459747,35.0972938149738,38.1415047115977,4.09247483443757,1.27188144984434,12.36443372914,4.59905085634787,1.23977496493532,0.162005984437823,5.09534777745808,1.0138994228875
"ME",1997,"iceon",27.7681318244957,31.8747118687509,35.9847748026423,2.12092781142404,0.148907838986012,7.19534101560271,5.1599456153916,2.1117147619059,0.163138404952547,6.61675038624996,7.91965945415407
"ME",1998,"iceoff",24.2589315528251,33.6814206346072,39.095336171904,4.41155952959446,1.77659984278933,11.1065547057809,4.25531154275563,2.42650720478021,0.23363155608649,3.9891260213133,1.0494431193027
"ME",1998,"iceon",21.4730762836682,41.9426085617157,22.0050175254335,5.28012179641227,0.720621684816012,16.8025169225475,6.40359510325673,4.57380541719006,0.232322335009887,2.66403101284053,0.988218958975532
"ME",1999,"iceoff",24.2087643530569,33.8993881868084,37.8424360535082,5.0053554850895,0.386367174148084,16.3260030839748,3.06776075257209,2.53323073778521,0.340388469741181,2.72070474013486,0.871409487697373
"ME",1999,"iceon",20.7009462085849,42.2295986431333,31.6410836117882,3.52719432738836,0.294810248731528,16.0530406343451,9.32754024431018,3.25183874424657,0.380940171812774,4.84994872146579,2.61350502736293
"ME",2000,"iceoff",20.6279632592588,40.3381950697712,35.2641900886785,8.33501133246992,0.733002599218721,20.9290757301927,2.76162450985218,1.65982801805242,0.253480213848496,2.3141775274156,0.641289475489021
"ME",2000,"iceon",11.7594723560207,56.5256665839287,24.5524377605517,3.2895878031505,0.324254988386883,20.0235309875504,16.5828610983301,2.96801006350717,0.444768984823364,7.00719345659999,2.70171295309766
"ME",2001,"iceoff",24.4721529394865,37.29580660713,34.7071694926363,5.71813873226511,0.667348362601308,16.3215495510643,3.56393802070427,2.8547266475215,0.116847380999297,3.53730647877562,0.943576021134593
"ME",2001,"iceon",25.2212691510564,43.8152688405968,28.4446315901661,2.67978836507246,1.60422206555047,13.3897671481033,10.5090049566292,7.31730271964207,0.208126074301382,5.39368253008321,2.00101907025543
"ME",2002,"iceoff",23.9365391422802,31.5860684886872,41.3840997176109,5.04462864872378,1.41871472368781,12.1216128958426,3.46160115548949,0.556775800040602,0.276045323969551,3.62657258537165,0.671879240086917
"ME",2003,"iceoff",21.1759609061434,34.1649692512739,41.7108608769301,5.72310585689747,1.4750325892957,15.690549134471,2.76009004479257,0.653960061626577,0.0698933756628539,2.84932141189906,0.517084793215481
"ME",2003,"iceon",32.689848190731,31.4466736906495,35.7961522464867,2.82877674483987,0.356030865686338,4.14724798215471,2.82149885579409,0.929223721785538,0.0315802085012021,8.27976843321284,1.0211090438338
"ME",2004,"iceoff",15.9494186007887,36.5640846800801,44.3270421972942,6.13044789042009,3.14491920315628,15.1640989905071,4.41603995343669,0.680064456404211,0.169694681487886,2.38956408550015,0.813470009325798
"ME",2004,"iceon",15.1535705924516,56.293412860893,27.4871047460437,5.11769266840651,0.410539281233242,21.4160218633835,13.4371278897145,3.05863017618125,0.536807503552,5.59830590053767,2.36766534722467
"ME",2005,"iceoff",19.6413354002669,38.0685301918507,38.7521692569022,6.32647562768656,0.959314220214879,19.2511488318227,2.57361857863258,0.859244239614535,0.309449954460558,2.82214124092629,0.648401771141895
"ME",2005,"iceon",14.8760813103583,59.1034554324952,25.3768198109034,4.52004384475319,0.449085698617649,20.3222024802525,15.8305765732486,4.54252040137777,0.483454935399591,5.83471817211214,2.66599621110351
"ME",2006,"iceoff",18.3812404451499,37.6632823195559,39.7595424790401,6.96067320614018,1.03722862599613,21.0785721094535,2.80255488168912,0.979744591897819,0.250162991659142,1.53405627256392,0.607049572795303
"ME",2006,"iceon",16.1159453249522,52.0033693829575,29.9755891299365,6.08289233111513,0.523703527821702,23.8667388235281,9.50486084503766,2.5262727919501,0.248822418629387,3.88814508978176,1.45347916609114
"ME",2007,"iceoff",17.4245120615289,36.6315583449371,42.4997406137604,6.54399009233269,2.2246289981018,17.8414874348211,3.45327900215694,1.09040295503193,0.222548772715924,1.86017035387927,0.566971930244474
